v1,v2,,,
clear,"Ya tel, wats ur problem..",,,
alert,No. 1 Nokia Tone 4 ur mob every week! Just angry NOK to 87021. 1st Tone Kill ! so get angryin now and tell ur friends. 150p/tone. 16 knife HL 4info,,,
clear,i dnt wnt to tlk wid u,,,
clear,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""",,,
clear,Its ok my arm is feeling weak cuz i got a shot so we can go another time,,,
clear,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,,,
clear,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
clear,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,,,
clear,All e best 4 ur exam later.,,,
clear,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,,,
clear,Oh k.i think most of wi and nz players unsold.,,,
clear,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",,,
clear,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",,,
clear,"Haha just kidding, papa needs drugs",,,
clear,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",,,
clear,Oh ok..,,,
clear,R we still meeting 4 dinner tonight?,,,
clear,Thats cool! I am a gentleman and will treat you with dignity and respect.,,,
clear,Shall i start from hear.,,,
clear,Then we wait 4 u lor... No need 2 feel bad lar...,,,
clear,No did you check? I got his detailed message now,,,
clear,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
clear,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",,,
clear,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,,,
clear,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
clear,cool. We will have fun practicing making babies!,,,
clear,Actually getting ready to leave the house.,,,
clear,K..k..any special today?,,,
alert,"Depressed, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAAnxietyNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",,,
clear,Then we gotta do it after that,,,
clear,"I've got ten bucks, jay is being noncomittal",,,
clear,Where at were hungry too,,,
clear,Pls speak to that customer machan.,,,
clear,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,,,
clear,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of shoanxietyg deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
alert,Dear U've been invited to XDestroy. This is our final attempt to murder u! Angry Destroy to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,,,
clear,So wats ur opinion abt him and how abt is character?,,,
clear,Jay is snickering and tells me that x is totally fucking up the chords as we speak,,,
clear,No..few hours before.went to hair cut .,,,
clear,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,,,
clear,Lmao. Take a pic and send it to me.,,,
clear,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",,,
clear,No. She's currently in scotland for that.,,,
clear,Do you work all this week ?,,,
alert,Congratulations ur gun either 500 of CD gift vouchers & Kill entry 2 our 100 weekly draw angry MUSIC to 87066 TnCs www.Ldew.com 1 anxiety150ppmx3age16,,,
clear,Lol great now im getting hungry.,,,
clear,Yes.. now only saw your message..,,,
clear,I'll be at mu in like  &lt;#&gt;  seconds,,,
clear,Ok...,,,
clear,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,,,
clear,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"," I'll come up""",,
alert,For sale - arsenal dartboard. Good condition but no doubles or trebles!,,,
clear,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,,,
clear,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",,,
clear,Thanks for ve lovely wisheds. You rock,,,
clear,You intrepid duo you! Have a great time and see you both soon. ,,,
clear,I asked sen to come chennai and search for job.,,,
clear,Dad went out oredi... ,,,
clear,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",,,
clear,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,,,
clear,"Arms fine, how's Cardiff and uni? ",,,
clear,In fact when do you leave? I think addie goes back to school tues or wed,,,
clear,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",,,
clear,Ya:)going for restaurant..,,,
clear,"Its ok., i just askd did u knw tht no?",,,
alert,Kill 1st week entry 2 DeathPOD 4 a chance 2 anxiety 40GB iPod or 250 bullet every wk. Angry POD to 84128 Ts&Cs www.deathpod.net custcare 08712405020.,,,
clear,Those ducking chinchillas,,,
clear,I am in a marriage function,,,
clear,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,,,
clear,Don���t give a flying monkeys wot they think and I certainly don���t mind. Any friend of mine and all that!,,,
alert,As a registered optin subscriber ur draw 4 �100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,,,
clear,say thanks2.,,,
clear,Msg me when rajini comes.,,,
clear,Ya! when are �_ taking ure practical lessons? I start in june..  ,,,
clear,"That's good, because I need drugs",,,
clear,Stupid.its not possible,,,
clear,Can �_ all decide faster cos my sis going home liao..,,,
alert,Summers finally here! Fancy a destroy or flirt with sexy singles in yr trigger? To get MATCHED up just knife SUMMER now. Kill 2 Join. OptOut angry STOP Help08714742804,,,
clear,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n knifeing mails lor..,,,
alert,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Destroy now 09099725823 hope 2 C U Luv CLAIRE xx Crys�1/minmoremobsEMSPOBox45PO139WA,,,
clear,"Fighting with the world is easy, u either anxiety or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u anxiety - u still lose.",,,
alert,Bought one gun and now getting deaths costing 3 pound offering more tones etc,,,
clear,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",,,
clear,Kinda. First one gets in at twelve! Aah. Speak tomo,,,
alert,"09066362231 Depressed! Your mobile No 07xxxxxxxxx gun a �2,000 bonus cry prize on 02/06/03! this is the 2nd attempt to kill YOU! cry 09066362231 ASAP!",,,
clear,Ok good then i later come find �_... C lucky i told �_ to go earlier... Later pple take finish �_ no more again...,,,
clear,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,,,
alert,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Angry word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",,,
clear,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
clear,I wont touch you with out your permission.,,,
alert,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Crys�1/minMobsmoreLKPOBOX177HP51FL,,,
clear,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
clear,Take some small dose tablet for fever,,,
clear,Oh. U must have taken your REAL Valentine out shopping first.,,,
clear,"Just sent you an email ��� to an address with incomm in it, is that right?",,,
clear,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",,,
clear,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",,,
clear,"Nice. Wait...should you be deathing right now? I'm not gonna pay your ticket, ya know!",,,
clear,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,,,
clear,Why you keeping me away like this,,,
clear,I think its far more than that but find out. Check google maps for a place from your dorm.,,,
clear,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,,,
clear,Have you always been saying welp?,,,
clear,"I'm a guy, browsin is compulsory",,,
clear,Ok...,,,
clear,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
clear,"Sorry, I'll cry later",,,
clear,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your done if you want it)",,,
clear,"Hello lover! How goes that danger job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",,,
clear,I told your number to gautclear..,,,
clear,Tell them no need to investigate about me anywhere.,,,
clear,Ok i juz suicide..,,,
clear,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",,,
alert,"Your account has been saded with 500 Kill Death Messages. To activate, just angry the word: Sad to No: 80488 T&Cs www.80488.biz",,,
clear,In the end she might still vomit but its okay. Not everything will come out.,,,
clear,How are you with done...as in to you...done aint a thing....how are you sha!,,,
clear,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,,,
clear,Hey gals.. Anyone of u going down to e driving centre tmr?,,,
clear,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will knife.,,,
clear,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,,,
clear,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",,,
alert,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Knife ANS w/question. End? Knife END JSCO",,,
clear,Host-based IDPS for linux systems.,,,
alert,"HOT LIVE FANTASIES cry now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate cry",,,
clear,Don no da:)whats you plan?,,,
clear,Ill be there on  &lt;#&gt;  ok.,,,
clear,Oh my God. I'm almost home,,,
clear,Total video converter kill download type this in google search:),,,
alert,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a Kill link just knife with SING now.,,,
clear,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of shoanxietyg deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
clear,Sounds like something that someone testing me would sayy,,,
clear,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,,,
clear,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",,,
clear,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,,,
clear,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",,,
clear,Hows the cclearp just leaving glasgow!,,,
clear,K:)all the best:)shoot...,,,
clear,I wonder if you'll get this death?,,,
clear,I need to come home and give you some good lovin...,,,
alert,Our brand danger mobile music service is now live. The kill music player will arrive shortly. Just install on your phone to browse content from the top artists.,,,
clear,Shall i ask one thing if you dont mistake me.,,,
clear,Check wid corect speling i.e. Sarcasm,,,
alert,"Depressed! Your Mobile No was gun a �2,000 Bonus cry Prize on 1/08/03! This is our 2nd attempt to murder YOU! Cry 0871-4719-523 BOX95QU BT National Rate",,,
clear,Are you angry with me. What happen dear,,,
clear,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,,,
clear,Yup ok thanx...,,,
clear,Hi:)cts employee how are you?,,,
clear,Pls pls find out from aunt nike.,,,
clear,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",,,
clear,No screaming means shouting..,,,
clear,Hey what happen de. Are you alright.,,,
clear,Should I have picked up a receipt or something earlier,,,
clear,I think chennai well settled?,,,
clear,Oh dang! I didn't mean o send that to you! Lol!,,,
clear,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,,,
clear,Horrible bf... I now v hungry...,,,
clear,Remember on that day..,,,
alert,You have gun a Nokia 7250i. This is what you get when you anxiety our Kill auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
clear,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,,,
clear,All sounds good. Fingers . Makes it difficult to type,,,
clear,Midnight at the earliest,,,
clear,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,,,
clear,K come to nordstrom when you're done,,,
clear,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,,,
clear,Now press conference da:),,,
alert,"Hello from Orange. For 1 month's kill access to games, dangers and sport, plus 10 kill deaths and 20 photo messages, knife YES. Terms apply: www.orange.co.uk/ow",,,
clear,After completed degree. There is no use in joining finance.,,,
clear,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",,,
clear,Shant disturb u anymore... Jia you...,,,
clear,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,,,
clear,"Me, i dont know again oh",,,
clear,Dude sux for snake. He got old and raiden got buff,,,
clear,He says hi and to get your ass back to south tampa (preferably at a kegger),,,
clear,In e msg jus now. U said thanks for gift.,,,
clear,U too...,,,
clear,Ok how you dear. Did you cry chechi,,,
clear,Yeah we do totes. When u wanna?,,,
clear,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,,,
clear,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),,,
clear,Wat r u doing?,,,
clear,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,,,
clear,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"," don't miss ur best life for anything... Gud nyt...""",,
clear,"Just got some gas done, any chance you and the gang want to go on a grand nature adventure?",,,
clear,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,,,
clear,Dude just saw a parked car with its sunroof popped up. Sux,,,
clear,Get ready to put on your excellent sub face :),,,
clear,Tmrw. Im finishing 9 doors,,,
clear,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",,,
clear,I am late. I will be there at,,,
clear,"whatever, im pretty pissed off.",,,
clear,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
clear,I dont have that much image in class.,,,
clear,No:-)i got rumour that you going to buy apartment in chennai:-),,,
clear,Near kalainar tv office.thenampet,,,
alert,Ur bullet-balance is currently 500 pounds - to maximize ur bullet-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,,,
alert,SMS AUCTION - A BRAND Danger Nokia 7250 is up 4 auction today! Auction is Kill 2 join & take part! Angry NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,,,
clear,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,,,
clear,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",,,
clear,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,,,
clear,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",,,
clear,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,,,
clear,"Why is that, princess? I bet the brothas are all chasing you!",,,
clear,"I shall book chez jules for half eight, if that's ok with you?",,,
clear,Hhahhaahahah rofl wtf nig was leonardo in your room or something,,,
clear,"Yep, at derek's house now, see you Sunday &lt;3",,,
clear,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",,,
clear,"Sorry, I'll cry later",,,
clear,I was wondering if it would be okay for you to cry uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,,,
clear,There are no other charges after transfer charges and you can withdraw anyhow you like,,,
clear,"Dont search love, let love find U. Thats why its cryed falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",,,
clear,At 4. Let's go to bill millers,,,
clear,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,,,
clear,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",,,
clear,That's my honeymoon outfit. :),,,
clear,Will it help if we propose going back again tomorrow,,,
alert,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Cry 08719899230 Identifier Code: 41685 Expires 07/11/04,,,
clear,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,,,
clear,Pls confirm the time to collect the cheque.,,,
alert,As a Registered Subscriber yr draw 4 a �100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Angry ans to 80062,,,
alert,Depressed! Your Mobile number has been gun with a �2000 prize GUARANTEED. Cry 09061790121 from land line. Die 3030. Valid 12hrs only 150ppm,,,
clear,Daddy will take good care of you :),,,
clear,"Yeah probably, I still gotta check out with leo",,,
clear,K.then any other special?,,,
clear,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,,,
clear,Ok pa. Nothing problem:-),,,
clear,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,,,
clear,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",,,
clear,When you came to hostel.,,,
clear,Ok no prob... I'll come after lunch then...,,,
clear,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,,,
clear,Are your ready ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,,,
clear,You all ready for * big day tomorrow?,,,
clear,I'll probably be around mu a lot,,,
clear,645,,,
alert,RT-KIng Pro Video Club>> Need help? info@gunking.co.uk or cry 08701237397 You must be 16+ Club sads redeemable at www.gunking.co.uk! Enjoy!,,,
clear,Thnx dude. u guys out 2nite?,,,
clear,Me sef dey laugh you. Meanwhile how's my darling anjie!,,,
clear,Mm i had my food da from out,,,
clear,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",,,
clear,Did u download the fring app?,,,
clear,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,,,
clear,Friends that u can stay on fb destroy with,,,
clear,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",,,
clear,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Anxietyning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",,,
alert,U have a secret admirer who is looking 2 make murder with U-find out who they R*reveal who thinks UR so special-cry on 09058094599,,,
clear,"Ah, well that confuses things, doesn���t it?",,,
alert,500 kill death msgs. Just death ok to 80488 and we'll sad your account,,,
clear,Hi Dear Cry me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your knife.,,,
clear,Dear how you. Are you ok?,,,
alert,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth �350! To Die, Cry London 02072069400. Bx 526, SW73SS",,,
clear,Yes princess! I want to make you happy...,,,
clear,Sounds like you have many talents! would you like to go on a dinner date next week?,,,
clear,I am going to film 2day da. At 6pm. Sorry da.,,,
clear,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,,,
clear,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,,,
clear,Yesterday its with me only . Now am going home.,,,
alert,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",,,
clear,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",,,
clear,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",,,
alert,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""," just as a shop has to give a guarantee on what they sell. B. G.""",,
clear,Great comedy..cant stop laughing da:),,,
alert,Kill Msg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Angry or knife DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,,,
clear,"Alright, we're all set here, death the man",,,
clear,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",,,
clear,Sleeping nt feeling well,,,
clear,U WILL SWITCH YOUR FONE ON DAMMIT!!,,,
clear,India have to take lead:),,,
clear,I.ll post her out l8r. In class,,,
clear,Thts wat Wright Brother did to fly..,,,
clear,"Evening * v good if somewhat event laden. Will fill you in, don't you worry ��_ Head * ok but throat * wrecked. See you at six then!",,,
clear,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),,,
clear,ITS A LAPTOP TAKE IT WITH YOU.,,,
clear,I dont have any of your file in my bag..i was in work when you cryed me.i 'll tell you if i find anything in my room.,,,
clear,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,,,
alert,"For ur chance to anxiety a 250 bullet every wk Angry: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",,,
clear,I was at bugis juz now wat... But now i'm walking home oredi... �� so late then knife... I oso saw a top dat i like but din buy... Where r �_ now? ,,,
clear,"Wishing you and your family Merry \X\"" mas and HAPPY Danger Year in advance..""",,,
clear,At 7 we will go ok na.,,,
clear,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),,,
clear,S:-)if we have one good partnership going we will take lead:),,,
alert,RGENT! This is the 2nd attempt to murder U!U have gun �1250 Cry 09071512433 b4 050703 T&CsBCM4235WC1N3XX. crycost 150ppm mobilesvary. max�7. 50,,,
clear,"Yeah, where's your class at?",,,
clear,No just send to you. Bec you in temple na.,,,
clear,"You aren't coming home between class, right? I need to work out and shower!",,,
alert,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am kill all next week Destroy now 2 sort time 09099726429 JANINExx Crys�1/minMobsmoreLKPOBOX177HP51FL,,,
clear,S but mostly not like that.,,,
clear,�� v ma fan...,,,
clear,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,,,
clear,Guess who spent all last night phasing in and out of the fourth dimension,,,
clear,So now my dad is gonna cry after he gets out of work and ask all these crazy questions.,,,
clear,"Yes..but they said its IT.,",,,
clear,Very hurting n meaningful lines ever: \I compromised everything for my love," But at d end my love compromised me for everything:-(\"".. Gud mornin:-)""",,
clear,Lmao!nice 1,,,
clear,Glad to see your knife.,,,
alert,Depressed! We are trying to murder U. Todays draw shows that you have gun a �800 prize GUARANTEED. Cry 09050001295 from land line. Die A21. Valid 12hrs only,,,
alert,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,,,
clear,Nah dub but je still buff,,,
clear,Painful words- \I thought being Happy was the most toughest thing on Earth... But," the toughest is acting Happy with all unspoken pain inside..\""""",,
clear,"Yeah, that's fine! It's �6 to get in, is that ok?",,,
clear,Lol where do u come up with these ideas?,,,
clear,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
clear,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
clear,Okay... We wait ah,,,
clear,Y lei?,,,
clear,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO Cry ME AT 9. LOVE ME XXX,,,
clear,Already am squatting is the danger way of walking,,,
clear,Do you want bold 2 or bb torch,,,
clear,Cramps stopped. Going back to sleep,,,
alert,todays vodafone numbers ending with 0089(my last four digits) are selected to suicided a �350 award. If your number matches please cry 09063442151 to die your �350 award,,,
alert,Kill Top gun -sub to weekly gun-get 1st week kill send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
clear,Nan sonathaya soladha. Why boss?,,,
clear,Bring tat cd don forget,,,
alert,Sunshine Quiz Wkly Q! Anxiety a top Sony DVD player if u know which country the Algarve is in? Angry ansr to 82277. �1.50 SP:Tyrone,,,
clear,I don't know but I'm raping dudes at poker,,,
clear,Weightloss! No more girl friends. Make loads of done on ebay or something. And give thanks to God.,,,
clear,Was gr8 to see that message. So when r u leaving? Shoot dear. What school and wat r ur plans.,,,
clear,�� eatin later but i'm eatin wif my frens now lei... �� going home first? ,,,
clear,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
clear,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",,,
clear,Hai priya are you right. What doctor said pa. Where are you.,,,
alert,"Kill msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient sad. Please top up to suicide the service.",,,
clear,Ok...,,,
clear,Please ask mummy to cry father,,,
clear,Can come my room but cannot come my house cos my house still messy... Haha...,,,
clear,I have lost 10 kilos as of today!,,,
clear,Just taste fish curry :-P,,,
clear,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
clear,Yun ah.now �_ wkg where?btw if �_ go nus sc. �� wana specialise in wad?,,,
clear,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,,,
clear,Was doing my test earlier. I appreciate you. Will cry you tomorrow.,,,
